Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,PosList
Tony Bradley,3.6,5.5,1.4,2.0,0.0,6.1,0.9,0.4,0.8,1.2,8.7,18.0,22.0,C,,['C']
Dewayne Dedmon,2.9,4.1,1.3,1.7,0.1,5.4,0.8,0.6,0.4,0.8,7.1,13.1,16.0,C,,['C']
Maxi Kleber,2.3,5.5,0.7,0.7,1.7,5.2,1.4,0.5,0.7,0.6,7.1,26.8,50.0,PF,,['PF']
Ignas Brazdeikis,2.7,6.4,0.8,1.1,0.8,3.5,1.3,0.3,0.2,0.9,7.0,19.2,13.0,SF,,['SF']
Ignas Brazdeikis,0.0,0.3,0.5,0.5,0.0,0.5,0.3,0.0,0.0,0.3,0.5,1.8,4.0,SF,,['SF']
Ignas Brazdeikis,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,SF,,['SF']
Ignas Brazdeikis,4.4,9.9,1.0,1.5,1.4,5.1,2.0,0.5,0.4,1.4,11.1,29.3,8.0,SF,,['SF']
Daniel Gafford,2.9,4.2,1.3,2.0,0.0,4.3,0.5,0.5,1.4,0.8,7.0,14.6,54.0,C,,['C']
Daniel Gafford,1.9,2.8,0.9,1.3,0.0,3.3,0.5,0.4,1.1,0.7,4.7,12.4,31.0,C,,['C']
Daniel Gafford,4.1,6.0,2.0,2.9,0.0,5.6,0.5,0.7,1.8,0.8,10.1,17.7,23.0,C,,['C']
Draymond Green,2.7,6.0,1.1,1.4,0.5,7.1,8.9,1.7,0.8,3.0,7.0,31.5,63.0,PF,,['PF']
Dwight Howard,2.6,4.4,1.8,3.0,0.1,8.4,0.9,0.4,0.9,1.6,7.0,17.3,69.0,C,,['C']
Terance Mann,2.7,5.2,1.2,1.4,0.6,3.6,1.6,0.4,0.2,0.6,7.0,18.9,67.0,SG,,['SG']
Royce O'Neale,2.5,5.5,0.5,0.6,1.5,6.8,2.5,0.8,0.5,1.2,7.0,31.6,71.0,SF,,['SF']
R.J. Hampton,2.7,6.1,1.1,1.6,0.5,3.5,1.7,0.4,0.2,1.0,6.9,17.4,51.0,SG,,['SG']
R.J. Hampton,1.0,2.4,0.4,0.5,0.2,2.0,0.6,0.2,0.1,0.4,2.6,9.3,25.0,SG,,['SG']
